dataset,n,min,max,mean,unique_vals,frac_exact_0,frac_exact_1,looks_binarized,n_pos,n_neg
Kinase_Type_ALLO,28424,0.0,0.97216796875,0.18534942469125795,3560,0.0007388122713200113,0.0,False,755,27669
Kinase_Type_I,130039,0.0,0.974609375,0.18613076144201512,3997,0.0018456001661040148,0.0,False,6288,123751
Kinase_Type_I.5,35807,0.01214599609375,0.9697265625,0.19347313153739415,3714,0.0,0.0,False,2158,33649
Kinase_Type_II,19212,0.0142822265625,0.96923828125,0.1935965811836454,3220,0.0,0.0,False,1365,17847
Kinase_Type_III,8849,0.01666259765625,0.9697265625,0.19977667264607493,2479,0.0,0.0,False,432,8417
